Template,Example
You will look at (RELATED TO NICHE) differently by the end of this video,You will look at personal trainers differently by the end of this video
Stop feeling sorry for yourself because (PAIN POINT OF TARGET AUDIENCE) instead try these (NUMBER) (TIPS/TRICKS/HACKS) to get (DESIRED RESULT),Stop feeling sorry for yourself because you’re not gaining muscle instead try these 7 hacks to get 15 pounds of muscle in 3 months
(RELATED TO NICHE) are dead,Agencies & SMMA’s are dead
This hack will save you hours if you (RELATED TO NICHE),This hack will save you hours if you create content
"Are you tired of (PAIN POINT OF TARGET AUDIENCE), then try this","Are you tired of paying for ads and seeing little results, then try this"
These X (HACK/TIP/TRICK) feel illegal to know,These 3 productivity hacks feel illegal to know
This simple trick helped me to (ACHIVEVE DESIRED OUTCOME) and it can help you too,This simple trick helped me to quit my 9-5 forver and it can help you too
This (RELATED TO NICHE) is the most dangerous (RELATED TO NICHE) of (PLACE),This neighborhood is the most dangerous area of the US
Everything you know about (RELATED TO NICHE) is 100% wrong,Everything you know about eating healthy is 100% wrong
(TARGET AUDIENCE) fail to achieve (DESIRED OUTCOME) for one of 3 reasons,Youtubers fail to achieve 1000 subscribers for one of 3 reasons
This is how I achieved (DESIRED RESULT),This is how I achieved 10k followers in 30 days
This is why your (ACTION) isn’t working,This is why your TikTok strategy isn’t working
"Everything you knew about (SUBJECT) is WRONG! ","Everything you knew about the Titanic is wrong! "
Here is a (RELATED TO NICHE) secret you need to know,Here is a marketing secret you need to know
You need this free tool if (DESIRED RESULT),You need this free tool if you want to increase your close percentage
Did you know that (FACT),Did you know that honey never spoils?
The (NUMBER) secrets to (DESIRED RESULT),"The two secrets to uploading the highest quality Instagram reels. "
This one mistake could be costing you (NUMBER),"This one mistake could be costing you a million dollars, "
Steal my secret strategy on (DESIRED RESULT),Steal my strategy on how I lost 30 pounds
"The craziest thing just happened at (PLACE), you will never believe it",The craziest thing just happened at the amusement park; you will never believe it!
Exposing my secret to (DESIRED RESULT),Exposing my secret to recording a months worth of content in 1 day
"Stop scrolling, you want to see this if you want (DESIRED RESULT) ","Stop scrolling, you want to see this if you want your posts to go viral"
Imagine if you could (DESIRED RESULT),"Imagine if you could earn $10,000 a month from the comfort of your own home"
Let’s figure out why (PAIN POINT TO TARGET AUDIENCE),Let's figure out why entrepreneurs struggle with time management.
This is the easiest tip to follow if you want (DESIRED RESULT),This is the easiest tip to follow if you want to save $1000 next month
Why is nobody talking about this (TOOL) to get (DESIRED RESULT),Why is nobody talking about this editing software to create high-quality content
"I’ve always been (PAIN POINT), but…","I've always been risk-averse, but here's how I overcame it‍"
(NUMBER) things about (NICHE) I wish I knew earlier,3 things about dropshipping I wish i knew earlier
How to get (DESIRED RESULT) step-by-step,How to get 1 million followers step-by-step
Why 99% of (TARGET AUDIENCE) won’t (RELATED TO NICHE),"Why 99% of marketers won’t make content consistently "
